Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,,"batch_size=32, lr = 0.01",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,"batch_size=32,lr=1e-4",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
,,,,,,,,,,,38,0.661,0.009,0.6045,86.6415,96.781,5.00E-09,,,38,0.383,0.011,0.13078,98.4481,99.9161,5.00E-09
,,,,,,,,,,,39,0.661,0.009,0.5928,86.6415,96.8648,5.00E-09,,,39,0.384,0.011,0.13391,98.2909,99.9161,5.00E-09
,,,,,,,,,,,40,0.661,0.01,0.59533,86.7883,96.8334,5.00E-09,,,40,0.383,0.011,0.13007,98.228,99.9476,5.00E-09
,,,,,,,,,,,41,0.661,0.01,0.60433,86.4632,96.9173,5.00E-09,,,41,0.383,0.011,0.13107,98.3014,99.979,5.00E-09
,,,,,,,,,,,42,0.661,0.01,0.59313,87.4384,96.8753,5.00E-09,,,42,0.382,0.011,0.13237,98.1231,99.9056,5.00E-09
,,,,,,,,,,,43,0.662,0.011,0.60753,86.3374,96.9382,5.00E-09,,,43,0.383,0.011,0.13431,98.1755,99.9685,5.00E-09
,,,,,,,,,,,44,0.661,0.01,0.60507,86.4947,96.8858,5.00E-09,,,44,0.384,0.012,0.132,98.2175,99.9581,5.00E-09
,,,,,,,,,,,45,0.663,0.012,0.59306,86.9351,96.781,5.00E-09,,,45,0.383,0.011,0.13537,98.1126,99.8742,5.00E-09
,,,,,,,,,,,46,0.66,0.009,0.60875,86.1801,96.9173,5.00E-09,,,46,0.383,0.011,0.12948,98.2909,99.9581,5.00E-09
,,,,,,,,,,,47,0.661,0.009,0.61705,85.9809,96.7285,5.00E-09,,,47,0.385,0.012,0.13477,98.2175,99.9581,5.00E-09
,,,,,,,,,,,48,0.661,0.01,0.60645,86.3374,96.718,5.00E-09,,,48,0.384,0.012,0.13004,98.4167,99.9581,5.00E-09
,,,,,,,,,,,49,0.66,0.009,0.5975,87.1343,96.8334,5.00E-09,,,49,0.382,0.011,0.13048,98.4586,99.9581,5.00E-09
,,,,,,,,,,,50,0.66,0.009,0.60636,86.5576,96.9278,5.00E-09,,,50,0.382,0.011,0.13128,98.3223,99.9266,5.00E-09
,,,,,,,,,,,51,0.661,0.01,0.60559,86.7568,96.8334,5.00E-09,,,51,0.382,0.011,0.13444,98.186,99.9266,5.00E-09
,,,,,,,,,,,52,0.661,0.01,0.60199,86.7149,96.8858,5.00E-09,,,52,0.382,0.011,0.13542,98.228,99.9371,5.00E-09
,,,,,,,,,,,53,0.661,0.01,0.60182,86.6205,96.9592,5.00E-09,,,53,0.382,0.01,0.13405,98.207,99.9371,5.00E-09
,,,,,,,,,,,54,0.66,0.009,0.59991,86.8093,96.7705,5.00E-09,,,54,0.382,0.011,0.13568,98.0916,99.9371,5.00E-09
,,,,,,,,,,,55,0.662,0.011,0.59849,86.7673,96.8019,5.00E-09,,,55,0.381,0.011,0.13046,98.3538,99.9161,5.00E-09
,,,,,,,,,,,56,0.66,0.009,0.59819,86.5786,96.76,5.00E-09,,,56,0.382,0.011,0.13239,98.1126,99.9581,5.00E-09
,,,,,,,,,,,57,0.66,0.009,0.60858,86.3689,96.7914,5.00E-09,,,57,0.382,0.011,0.13414,98.2384,99.9685,5.00E-09
,,,,,,,,,,,58,0.66,0.009,0.59059,86.5262,96.9487,5.00E-09,,,58,0.382,0.011,0.13219,98.2489,99.9371,5.00E-09
,,,,,,,,,,,59,0.661,0.01,0.608,86.4947,96.6866,5.00E-09,,,59,0.383,0.013,0.13,98.1965,99.9685,5.00E-09
,,,,,,,,,,,60,0.66,0.009,0.6094,86.0543,96.781,5.00E-09,,,60,0.382,0.011,0.13195,98.186,99.9476,5.00E-09
,,,,,,,,,,,61,0.66,0.009,0.60733,86.7778,96.6866,5.00E-09,,,61,0.382,0.011,0.13216,98.165,99.9266,5.00E-09
,,,,,,,,,,,62,0.66,0.009,0.61892,85.8551,96.5922,5.00E-09,,,62,0.382,0.011,0.13325,98.2804,99.979,5.00E-09
,,,,,,,,,,,63,0.66,0.009,0.59953,86.6415,97.1375,5.00E-09,,,63,0.382,0.011,0.13021,98.4167,99.9685,5.00E-09
,,,,,,,,,,,64,0.66,0.009,0.60339,86.2955,96.8334,5.00E-09,,,64,0.383,0.013,0.13102,98.3223,99.9371,5.00E-09
,,,,,,,,,,,65,0.661,0.009,0.59592,86.8407,96.8124,5.00E-09,,,65,0.382,0.011,0.13589,98.1546,99.9266,5.00E-09
,,,,,,,,,,,66,0.661,0.01,0.59586,86.7988,96.8544,5.00E-09,,,,,,,,,
,,,,,,,,,,,67,0.66,0.009,0.59714,86.7149,96.6866,5.00E-09,,,,,,,,,
,,,,,,,,,,,68,0.66,0.009,0.60359,86.5052,96.8648,5.00E-09,,,,,,,,,
,,,,,,,,,,,69,0.66,0.009,0.60691,86.6939,96.6132,5.00E-09,,,,,,,,,
,,,,,,,,,,,70,0.66,0.009,0.60714,86.4213,96.9173,5.00E-09,,,,,,,,,
,,,,,,,,,,,71,0.66,0.01,0.58768,86.9875,96.9592,5.00E-09,,,,,,,,,
